,preds
0,0.9638293
1,0.8908489
2,0.9439875
3,0.9713534
4,0.070430495
5,0.927479
6,0.95387095
7,0.6230213
8,0.25230905
9,0.49557805
10,0.0024455937
11,0.97865105
12,0.941213
13,0.06544555
14,0.9553813
15,0.95098853
16,0.0015004927
17,0.9194057
18,0.91126907
19,0.71519965
20,0.0024595242
21,0.956787
22,0.021866938
23,0.92036116
24,0.8880107
25,0.9329929
26,0.9753823
27,0.8283861
28,0.0042213625
29,0.450733
30,0.44429708
31,0.959418
32,0.0015123622
33,0.81869465
34,0.006738048
35,0.0028731031
36,0.006374987
37,0.95224464
38,0.905211
39,0.9619337
40,0.95138794
41,0.9606247
42,0.8773095
43,0.010660318
44,0.9776905
45,0.9553097
46,0.088144064
47,0.9315426
48,0.85528517
49,0.98001903
50,0.51670176
51,0.939889
52,0.9413207
53,0.9644037
54,0.93379146
55,0.9656372
56,0.9464042
57,0.86494243
58,0.9655088
59,0.8841237
60,0.9435271
61,0.9742088
62,0.70602816
63,0.9603558
64,0.89922065
65,0.014156014
66,0.0021078927
67,0.89162475
68,0.9719396
69,0.9552303
70,0.43845743
71,0.9432587
72,0.9304301
73,0.9638364
74,0.9819935
75,0.9498813
76,0.9166963
77,0.8570394
78,0.0020324334
79,0.96970177
80,0.9583317
81,0.91523886
82,0.96645856
83,0.0052106134
84,0.67498195
85,0.8826578
86,0.981294
87,0.002349716
88,0.34447956
89,0.5128387
90,0.028486658
91,0.0019429374
92,0.7434418
93,0.577889
94,0.9569585
95,0.961167
96,0.9674654
97,0.95939356
98,0.19708692
99,0.0016552275
100,0.39881995
101,0.88412666
102,0.9690813
103,0.9573643
104,0.3846669
105,0.6939389
106,0.4797099
107,0.9070493
108,0.94587684
109,0.9962584
110,0.6934005
111,0.85560554
112,0.9161868
113,0.8576372
114,0.18209933
115,0.0018281708
116,0.93443054
117,0.5328756
118,0.56679565
119,0.94743335
120,0.32940838
121,0.7695217
122,0.97222644
123,0.92788005
124,0.93494207
125,0.83270186
126,0.0017755893
127,0.82353127
128,0.94569737
129,0.7628397
130,0.3751226
131,0.82753646
132,0.91267675
133,0.95034426
134,0.9655356
135,0.96796584
136,0.9345471
137,0.338268
138,0.93552244
139,0.0016902382
140,0.9261735
141,0.8610459
142,0.9578898
143,0.0018280718
144,0.5502368
145,0.015566736
146,0.9784202
147,0.97212887
148,0.8224795
149,0.93860376
150,0.9089386
151,0.96103716
152,0.6759707
153,0.9376445
154,0.002041859
155,0.401577
156,0.77505165
157,0.8843293
158,0.8909948
159,0.7971076
160,0.67309
161,0.38369048
162,0.7118181
163,0.9531442
164,0.3288847
165,0.95689875
166,0.94334036
167,0.95725626
168,0.95115566
169,0.08575608
170,0.27721375
171,0.8910706
172,0.57051444
173,0.96144736
174,0.82824266
175,0.9636838
176,0.9686913
177,0.0048563
178,0.94243616
179,0.87435824
180,0.9032585
181,0.88873786
182,0.95686734
183,0.95350945
184,0.93247724
185,0.97496593
186,0.60469764
187,0.7446824
188,0.8368038
189,0.96397394
190,0.8912816
191,0.9521759
192,0.95430887
193,0.96073043
194,0.97128075
195,0.9859466
196,0.976648
197,0.92417467
198,0.86574477
199,0.9345735
200,0.5454358
201,0.90086395
202,0.78691465
203,0.9189333
204,0.0068156607
205,0.8781898
206,0.6344629
207,0.9616182
208,0.3746748
209,0.9217454
210,0.6571046
211,0.0016215846
212,0.94807905
213,0.0014760534
214,0.71113455
215,0.94936496
216,0.90940243
217,0.9466605
218,0.9453786
219,0.67101586
220,0.8727004
221,0.0014811074
222,0.92115897
223,0.8101923
224,0.7064397
225,0.8036965
226,0.8882617
227,0.95182556
228,0.001968255
229,0.96071774
230,0.92450583
231,0.467517
232,0.002761177
233,0.94426495
234,0.95368475
235,0.0015359458
236,0.92744416
237,0.8265856
238,0.9206098
239,0.12901314
240,0.9610226
241,0.87253433
242,0.80244035
243,0.50155604
244,0.0020741294
245,0.97222036
246,0.9342086
247,0.36126012
248,0.0034490316
249,0.0044948813
250,0.7981463
251,0.9649967
252,0.977419
253,0.9638861
254,0.007676921
255,0.93456554
256,0.0016610388
257,0.9365254
258,0.9387491
259,0.87221444
260,0.97301924
261,0.85932654
262,0.56962276
263,0.97619617
264,0.9285879
265,0.8771313
266,0.9555018
267,0.9313417
268,0.8843358
269,0.9739059
270,0.0025392626
271,0.95318526
272,0.95542383
273,0.93165547
274,0.95682955
275,0.9494054
276,0.034352913
277,0.5566185
278,0.7567428
279,0.0017755893
280,0.0031270818
281,0.9426055
282,0.89805067
283,0.76855224
284,0.95864457
285,0.92967933
286,0.7727459
287,0.96887857
288,0.26306528
289,0.95886725
290,0.1912624
291,0.78909373
292,0.944903
293,0.96786827
294,0.9685204
295,0.9178312
296,0.9385939
297,0.9447351
298,0.8073396
299,0.9717324
300,0.96220964
301,0.6433718
302,0.85011023
303,0.8955745
304,0.88196117
305,0.967681
306,0.0014861624
307,0.9271166
308,0.705821
309,0.9605125
310,0.97374517
311,0.9731598
312,0.008675264
313,0.9690607
314,0.5059971
315,0.8773869
316,0.9481324
317,0.001453885
318,0.913957
319,0.9299352
320,0.97173685
321,0.91491336
322,0.95673
323,0.94110626
324,0.29033965
325,0.8864917
326,0.0015401542
327,0.0023271688
328,0.7819811
329,0.96617717
330,0.9305231
331,0.9677683
332,0.72634375
333,0.94738925
334,0.97027147
335,0.9181177
336,0.90101635
337,0.0026728243
338,0.8909244
339,0.90167916
340,0.9131184
341,0.012771561
342,0.9948054
343,0.9371505
344,0.97945887
345,0.0043429034
346,0.89516145
347,0.9595247
348,0.0022504164
349,0.46165168
350,0.0014570381
351,0.5722863
352,0.9452019
353,0.91844547
354,0.008148533
355,0.8606083
356,0.9665003
357,0.972635
358,0.0030919986
359,0.9351182
360,0.90366125
361,0.6982973
362,0.5911477
363,0.9451606
364,0.93527097
365,0.91838455
366,0.8622477
367,0.9655852
368,0.066997394
369,0.96063733
370,0.9290395
371,0.027633019
372,0.9625681
373,0.71951133
374,0.0026726208
375,0.75498897
376,0.98193675
377,0.96731514
378,0.58240676
379,0.92631936
380,0.9736941
381,0.8528706
382,0.93337595
383,0.91267335
384,0.9574113
385,0.75705653
386,0.033747055
387,0.96832824
388,0.9677672
389,0.96303225
390,0.97191805
391,0.012740707
392,0.9501068
393,0.9311535
394,0.9733709
395,0.6248667
396,0.9427158
397,0.9660256
398,0.0049303435
399,0.02082276
400,0.93618333
401,0.9587617
402,0.87997395
403,0.89682937
404,0.9738346
405,0.5959302
406,0.95684487
407,0.9623401
408,0.13658205
409,0.85700977
410,0.0019506448
411,0.93852764
412,0.9378747
413,0.0014750143
414,0.0041331947
415,0.0022464744
416,0.95922834
417,0.94897085
418,0.90439117
419,0.9604019
420,0.9459379
421,0.91870016
422,0.9313767
423,0.9612966
424,0.001813672
425,0.95414203
426,0.77347004
427,0.9026221
428,0.96883327
429,0.0020167534
430,0.0068527902
431,0.40956825
432,0.006147189
433,0.0034833478
434,0.9581596
435,0.0015984108
436,0.6653796
437,0.03989178
438,0.94142985
439,0.6186147
440,0.0021459227
441,0.86667454
442,0.95245034
443,0.9246969
444,0.0047380864
445,0.96500355
446,0.006919309
447,0.9600463
448,0.0017960422
449,0.71068233
450,0.007813804
451,0.5961824
452,0.8533231
453,0.38285068
454,0.97650313
455,0.0023331682
456,0.7177427
457,0.001769902
458,0.9316211
459,0.97317106
460,0.92936075
461,0.15246888
462,0.31499398
463,0.701868
464,0.9467658
465,0.0014815968
466,0.95751065
467,0.04145133
468,0.0022126334
469,0.9689846
470,0.0026404671
471,0.86401576
472,0.0022033385
473,0.0020031303
474,0.939861
475,0.9149779
476,0.9315167
477,0.8913329
478,0.8953139
479,0.69979024
480,0.0018470557
481,0.92308795
482,0.94919276
483,0.792549
484,0.9584012
485,0.9431236
486,0.9533754
487,0.9618483
488,0.96726704
489,0.919358
490,0.968858
491,0.73930365
492,0.9552225
493,0.96358633
494,0.9602725
495,0.9097086
496,0.95963776
497,0.94413775
498,0.9677215
499,0.6026777
500,0.95475453
501,0.9228914
502,0.9550193
503,0.45050076
504,0.7575728
505,0.0017890732
506,0.9296758
507,0.4367905
508,0.39093798
509,0.91667587
510,0.969374
511,0.0014300873
512,0.9751242
513,0.8640996
514,0.9560525
515,0.97398233
516,0.0026827124
517,0.75798106
518,0.87432903
519,0.0015536628
520,0.9402129
521,0.8980112
522,0.84483963
523,0.9745296
524,0.95018053
525,0.9408634
526,0.92749786
527,0.94262177
528,0.93047583
529,0.94990134
530,0.96301216
531,0.9450539
532,0.90789443
533,0.9495159
534,0.93690634
535,0.0014809396
536,0.84441644
537,0.94707257
538,0.0080389995
539,0.90770936
540,0.946082
541,0.7705244
542,0.9212479
543,0.9688635
544,0.5910897
545,0.9435577
546,0.0017225605
547,0.009241365
548,0.039193023
549,0.7635813
550,0.6604383
551,0.8610755
552,0.9786911
553,0.94659966
554,0.9647499
555,0.6834341
556,0.9482222
557,0.9337757
558,0.9751061
559,0.8326479
560,0.9304205
561,0.94922596
562,0.77814543
563,0.95360893
564,0.9204042
565,0.9489245
566,0.9234789
567,0.90278715
568,0.96943754
569,0.6164261
570,0.0096784895
571,0.43785518
572,0.9743413
573,0.69798416
574,0.7709308
575,0.0016400479
576,0.96742904
577,0.98715335
578,0.004196065
579,0.7189152
580,0.71445155
581,0.6734536
582,0.9690729
583,0.8981969
584,0.9105352
585,0.13447456
586,0.96319747
587,0.96448267
588,0.8936273
589,0.93731445
590,0.0017908385
591,0.9146969
592,0.9346369
593,0.11141967
594,0.8721332
595,0.82725525
596,0.94571996
597,0.9593309
598,0.86620724
599,0.0025870919
600,0.9144133
601,0.47787008
602,0.94548666
603,0.9481905
604,0.0048373756
605,0.21754229
606,0.84921527
607,0.96710235
608,0.8169362
609,0.8692976
610,0.92024255
611,0.0053383163
612,0.9581329
613,0.9460744
614,0.83574915
615,0.96663064
616,0.7977174
617,0.16225491
618,0.93414885
619,0.0016191315
620,0.97156775
621,0.48558247
622,0.0031599381
623,0.95512044
624,0.9590334
625,0.8769428
626,0.95705235
627,0.97463644
628,0.96776026
629,0.94359547
630,0.97223526
631,0.94751567
632,0.9700512
633,0.9703151
634,0.74902236
635,0.9410239
636,0.9413159
637,0.94132096
638,0.002818249
639,0.8631197
640,0.010040181
641,0.96310955
642,0.9708085
643,0.0044722822
644,0.0053750686
645,0.9699444
646,0.0035952693
647,0.93957055
648,0.9702383
649,0.9535598
650,0.93807286
651,0.19728795
652,0.89098674
653,0.26647764
654,0.90954137
655,0.97703654
656,0.8948407
657,0.5760468
658,0.0020417853
659,0.004950064
660,0.9019691
661,0.12514144
662,0.94695294
663,0.9620443
664,0.92902553
665,0.9840642
666,0.85703266
667,0.66880167
668,0.96455705
669,0.8174826
670,0.9210622
671,0.7969671
672,0.9694866
673,0.9571042
674,0.9593906
675,0.9445803
676,0.46367952
677,0.9708529
678,0.0017363564
679,0.001891699
680,0.003164088
681,0.10038371
682,0.51765746
683,0.92250425
684,0.6203281
685,0.12467241
686,0.7991941
687,0.9518048
688,0.9787476
689,0.9658986
690,0.81109256
691,0.90879977
692,0.035902362
693,0.9575563
694,0.93290913
695,0.0015460978
696,0.93618834
697,0.9325613
698,0.0020382176
699,0.7359633
700,0.0026714632
701,0.96290046
702,0.9267131
703,0.8668828
704,0.0035145932
705,0.002136515
706,0.0030169424
707,0.9508704
708,0.90106833
709,0.002141661
710,0.809392
711,0.9838081
712,0.9554761
713,0.97859734
714,0.9669147
715,0.8999134
716,0.91887474
717,0.9737775
718,0.0020015608
719,0.46524462
720,0.7734185
721,0.81614316
722,0.348877
723,0.001675104
724,0.94935477
725,0.94116443
726,0.91130835
727,0.89830613
728,0.0014300873
729,0.95417213
730,0.0032227617
731,0.8848672
732,0.28136328
733,0.78138596
734,0.9813587
735,0.07114641
736,0.684729
737,0.9557197
738,0.9555581
739,0.9742173
740,0.0019721405
741,0.92420226
742,0.44985604
743,0.9202916
744,0.7431918
745,0.96502
746,0.931055
747,0.8774648
748,0.96029425
749,0.8863546
750,0.9655338
751,0.019020842
752,0.93843734
753,0.0092548
754,0.9680083
755,0.58933306
756,0.8886474
757,0.9040711
758,0.48915574
759,0.50376314
760,0.96550494
761,0.462267
762,0.007923883
763,0.9541489
764,0.9287392
765,0.94010895
766,0.0014570381
767,0.17973058
768,0.95663947
769,0.003212321
770,0.005246536
771,0.95866823
772,0.80390126
773,0.8440642
774,0.95222664
775,0.0021152655
776,0.4631945
777,0.9138504
778,0.94402224
779,0.001453885
780,0.798986
781,0.86257464
782,0.92748034
783,0.86994517
784,0.0015271555
785,0.7009995
786,0.9583843
787,0.0049482044
788,0.93682516
789,0.785866
790,0.95547366
791,0.72666764
792,0.6863726
793,0.9615599
794,0.00258651
795,0.8786677
796,0.90182585
797,0.9794448
798,0.90799373
799,0.9670333
800,0.35918808
801,0.47010615
802,0.9704414
803,0.91279906
804,0.95944124
805,0.0026495378
806,0.004135282
807,0.94923234
808,0.89427745
809,0.9381849
810,0.963323
811,0.7879635
812,0.97148985
813,0.94557714
814,0.8415186
815,0.9502799
816,0.055713087
817,0.8027767
818,0.95371497
819,0.9561888
820,0.41650587
821,0.37013376
822,0.93958664
823,0.9354099
824,0.9777641
825,0.9590352
826,0.90776515
827,0.600087
828,0.7013307
829,0.96507406
830,0.96919
831,0.41551962
832,0.6698561
833,0.52510154
834,0.009276038
835,0.938101
836,0.008084219
837,0.3817944
838,0.9537705
839,0.9371184
840,0.54494095
841,0.029387603
842,0.5137391
843,0.060882322
844,0.0030327921
845,0.9317629
846,0.9439849
847,0.92139435
848,0.2929401
849,0.0015601226
850,0.9377103
851,0.0014438184
852,0.0023124272
853,0.0016403134
854,0.45367083
855,0.57133734
856,0.97092706
857,0.98282135
858,0.9675935
859,0.0016607344
860,0.9562056
861,0.9503268
862,0.9094867
863,0.9722529
864,0.80408627
865,0.00471772
866,0.93976706
867,0.94176215
868,0.95194477
869,0.97483474
870,0.91780305
871,0.9235229
872,0.94897246
873,0.9328083
874,0.02424848
875,0.89027166
876,0.9391499
877,0.95046246
878,0.0014620159
879,0.0015498196
880,0.9300525
881,0.9533705
882,0.73049766
883,0.95414543
884,0.9568287
885,0.022919176
886,0.96679205
887,0.8911344
888,0.9496624
889,0.001874644
890,0.90239596
891,0.94492644
892,0.95000136
893,0.93236107
894,0.0021086098
895,0.93721473
896,0.93160415
897,0.9576466
898,0.0032764236
899,0.9359691
900,0.011632747
901,0.239346
902,0.6926051
903,0.18887976
904,0.31413004
905,0.9410073
906,0.9431391
907,0.9478229
908,0.9486892
909,0.94414186
910,0.9381613
911,0.9694901
912,0.9296929
913,0.96274644
914,0.6720017
915,0.0041380925
916,0.9562422
917,0.94934094
918,0.26824248
919,0.9326821
920,0.9631238
921,0.9413074
922,0.7842985
923,0.9524404
924,0.93795824
925,0.004627394
926,0.94150585
927,0.9363784
928,0.08950526
929,0.92458344
930,0.0014852309
931,0.94229907
932,0.9138398
933,0.9747063
934,0.5189309
935,0.9280269
936,0.9577023
937,0.91092825
938,0.0015622355
939,0.39838067
940,0.9005381
941,0.96175313
942,0.97365844
943,0.97521895
944,0.96238536
945,0.2731451
946,0.94664633
947,0.9281721
948,0.97188944
949,0.9561338
950,0.005639028
951,0.00350542
952,0.7672886
953,0.97615325
954,0.025023736
955,0.9571714
956,0.9389312
957,0.97031295
958,0.9473667
959,0.81133276
960,0.9263747
961,0.94797605
962,0.975588
963,0.617007
964,0.006341187
965,0.937175
966,0.882788
967,0.002667046
968,0.9681971
969,0.001453885
970,0.97726417
971,0.93306935
972,0.877638
973,0.95769536
974,0.9761174
975,0.93119025
976,0.9238596
977,0.8530132
978,0.96049565
979,0.8140573
980,0.95653063
981,0.15268622
982,0.96818227
983,0.9647803
984,0.95158887
985,0.6406939
986,0.015518298
987,0.001539957
988,0.0053876354
989,0.95914274
990,0.9541781
991,0.0025717304
992,0.9602742
993,0.48944935
994,0.65022296
995,0.95676345
996,0.9466584
997,0.9719543
998,0.9162678
999,0.74588525
1000,0.92214954
1001,0.95708597
1002,0.88867694
1003,0.58380306
1004,0.9350419
1005,0.30817762
1006,0.008079246
1007,0.68877596
1008,0.86572117
1009,0.95935416
1010,0.9515021
1011,0.004652186
1012,0.9703499
1013,0.97201407
1014,0.5918413
1015,0.13069876
1016,0.97721785
1017,0.23122056
1018,0.89297616
1019,0.94201547
1020,0.9521194
1021,0.91374713
1022,0.8924944
1023,0.96148264
1024,0.28928933
1025,0.969936
1026,0.9626028
1027,0.9723219
1028,0.9264392
1029,0.92785394
1030,0.9470423
1031,0.84075165
1032,0.6171727
1033,0.68908775
1034,0.89765733
1035,0.97735584
1036,0.95442194
1037,0.0015297441
1038,0.9554183
1039,0.50942355
1040,0.68472016
1041,0.8713361
1042,0.9630933
1043,0.95784575
1044,0.9133845
1045,0.836261
1046,0.9744819
1047,0.8259484
1048,0.0015305235
1049,0.64783376
1050,0.64110696
1051,0.93465793
1052,0.0032352945
1053,0.8135413
1054,0.9618459
1055,0.9733985
1056,0.0020160559
1057,0.9549731
1058,0.8174574
1059,0.26778257
1060,0.0034328096
1061,0.95052326
1062,0.9517625
1063,0.9606398
1064,0.8920184
1065,0.5898226
1066,0.9623085
1067,0.8853602
1068,0.90545696
1069,0.94043154
1070,0.8577242
1071,0.91428053
1072,0.7682327
1073,0.9398733
1074,0.9568948
1075,0.001721258
1076,0.008115729
1077,0.0048700976
1078,0.5531259
1079,0.90069294
1080,0.9347161
1081,0.00609465
1082,0.95223385
1083,0.9007703
1084,0.0015392767
1085,0.93225926
1086,0.917321
1087,0.0014570381
1088,0.95770913
1089,0.0019653758
1090,0.9465346
1091,0.9774784
1092,0.95517504
1093,0.96284
1094,0.9462955
1095,0.9078643
1096,0.95303714
1097,0.94147384
1098,0.8983129
1099,0.9600343
1100,0.888083
1101,0.94200003
1102,0.9520168
1103,0.8818617
1104,0.9142309
1105,0.9240882
1106,0.96711785
1107,0.0021367294
1108,0.9474009
1109,0.956522
1110,0.9401226
1111,0.011348043
1112,0.0039034311
1113,0.0021608965
1114,0.3455052
1115,0.94493484
1116,0.8279319
1117,0.0016358685
1118,0.9363755
1119,0.7113237
1120,0.9080411
1121,0.96362257
1122,0.95153016
1123,0.9260016
1124,0.97924143
1125,0.0024788573
1126,0.969764
1127,0.9299605
1128,0.6159498
1129,0.9400962
1130,0.96047014
1131,0.9894595
1132,0.007548584
1133,0.8197096
1134,0.94003624
1135,0.7500217
1136,0.9046025
1137,0.95973855
1138,0.97054905
1139,0.80373085
1140,0.48570728
1141,0.9585223
1142,0.94982785
1143,0.8874886
1144,0.0043912167
1145,0.9112066
1146,0.23504752
1147,0.905906
1148,0.0029546435
1149,0.92536014
1150,0.3116944
1151,0.95487833
1152,0.9803366
1153,0.61017865
1154,0.11772326
1155,0.22545336
1156,0.0023010843
1157,0.9439108
1158,0.95118254
1159,0.9476073
1160,0.0015654064
1161,0.92285734
1162,0.9575796
1163,0.95069623
1164,0.76933223
1165,0.91025203
1166,0.0023014073
1167,0.30387834
1168,0.9674414
1169,0.9246421
1170,0.6874219
1171,0.9657615
1172,0.94891995
1173,0.7713259
1174,0.9746951
1175,0.16300018
1176,0.89525133
1177,0.6089974
1178,0.5063557
1179,0.9501692
1180,0.93762547
1181,0.9478546
1182,0.7249827
1183,0.577227
1184,0.94648343
1185,0.011041794
1186,0.9599109
1187,0.6869545
1188,0.9548816
1189,0.0016895416
1190,0.94943905
1191,0.15755849
1192,0.8950088
1193,0.943539
1194,0.0025259797
1195,0.7850331
1196,0.0015585532
1197,0.9476076
1198,0.0014570381
1199,0.9661284
1200,0.9075506
1201,0.01269365
1202,0.067958
1203,0.955659
1204,0.9677987
1205,0.9159273
1206,0.9792362
1207,0.0014570381
1208,0.49159998
1209,0.9649331
1210,0.9758271
1211,0.002236514
1212,0.972062
1213,0.5554351
1214,0.89149433
1215,0.95253295
1216,0.9441743
1217,0.84422654
1218,0.25367102
1219,0.9282131
1220,0.001677883
1221,0.5812923
1222,0.007572589
1223,0.85183156
1224,0.6718093
1225,0.6897336
1226,0.97571075
1227,0.8431059
1228,0.9791047
1229,0.97392964
1230,0.46859416
1231,0.5633015
1232,0.9425021
1233,0.25600764
1234,0.9834963
1235,0.9129436
1236,0.97423583
1237,0.94903684
1238,0.7009666
1239,0.9461996
1240,0.8910191
1241,0.9519776
1242,0.68536216
1243,0.96365744
1244,0.9141783
1245,0.9509095
1246,0.0014570381
1247,0.78867614
1248,0.0063171745
1249,0.6985513
1250,0.94892424
1251,0.0020369512
1252,0.594558
1253,0.6092133
1254,0.0015354202
1255,0.0020300315
1256,0.96847034
1257,0.95590407
1258,0.0062405053
1259,0.8780804
1260,0.0041421033
1261,0.92014253
1262,0.0032535226
1263,0.9327257
1264,0.90883434
1265,0.47640884
1266,0.76929474
1267,0.8311408
1268,0.0026761284
1269,0.5406399
1270,0.8878571
1271,0.6866648
1272,0.89120907
1273,0.83164495
1274,0.912166
1275,0.7843317
1276,0.9383827
1277,0.40057954
1278,0.96682113
1279,0.0035814187
1280,0.001453885
1281,0.8701587
1282,0.94673693
1283,0.358285
1284,0.9619455
1285,0.931541
1286,0.0043880492
1287,0.9646177
1288,0.9478665
1289,0.872037
1290,0.9563049
1291,0.97201604
1292,0.49973157
1293,0.8706229
1294,0.6700727
1295,0.95757514
1296,0.9576841
1297,0.9773776
1298,0.9031962
1299,0.97002304
1300,0.8693875
1301,0.9390185
1302,0.001453885
1303,0.9287873
1304,0.1756511
1305,0.9775868
1306,0.9132192
1307,0.0021367294
1308,0.76194
1309,0.95217335
1310,0.9223049
1311,0.39806196
1312,0.9599659
1313,0.0142552415
1314,0.9216054
1315,0.918491
1316,0.9360309
1317,0.002499223
1318,0.9625414
1319,0.0014570381
1320,0.8085233
1321,0.7987787
1322,0.9568457
1323,0.9638017
1324,0.0023301544
1325,0.6085704
1326,0.48951516
1327,0.6727753
1328,0.29071948
1329,0.9643814
1330,0.96892506
1331,0.8926749
1332,0.9354348
1333,0.32694107
1334,0.9596645
1335,0.0016998856
1336,0.9262511
1337,0.0029731067
1338,0.0015551887
1339,0.7725187
1340,0.5749917
1341,0.8075577
1342,0.9344827
1343,0.6205366
1344,0.7495923
1345,0.95864725
1346,0.8929303
1347,0.9357875
1348,0.93141586
1349,0.96582305
1350,0.0018490622
1351,0.9315736
1352,0.95126534
1353,0.94976807
1354,0.94900924
1355,0.9684017
1356,0.0014817597
1357,0.8921829
1358,0.0023919586
1359,0.9833794
1360,0.8626617
1361,0.06240761
1362,0.001453885
1363,0.0016323903
1364,0.5826036
1365,0.73617107
1366,0.348366
1367,0.32271332
1368,0.902258
1369,0.91054183
1370,0.40208432
1371,0.007746013
1372,0.9470889
1373,0.0017513043
1374,0.8647097
1375,0.9420387
1376,0.91517526
1377,0.9783336
1378,0.012512233
1379,0.96233094
1380,0.9564756
1381,0.9337764
1382,0.97930473
1383,0.5977636
1384,0.0016049937
1385,0.92248577
1386,0.9530694
1387,0.7984979
1388,0.9521775
1389,0.0016288342
1390,0.954693
1391,0.8153673
1392,0.96251225
1393,0.9662419
1394,0.9585381
1395,0.96250373
1396,0.8890778
1397,0.94170654
1398,0.9683357
1399,0.9543448
1400,0.9418758
1401,0.92921716
1402,0.973067
1403,0.54952025
1404,0.96233624
1405,0.4416058
1406,0.4650946
1407,0.8929703
1408,0.9723504
1409,0.9760163
1410,0.93830365
1411,0.2847117
1412,0.95328015
1413,0.7023762
1414,0.0014815968
1415,0.24459732
1416,0.9426666
1417,0.0031826592
1418,0.9424793
1419,0.7807356
1420,0.96040374
1421,0.0014570381
1422,0.971299
1423,0.95600724
1424,0.19388635
1425,0.9131826
1426,0.93174225
1427,0.97153777
1428,0.94869083
1429,0.93006057
