,preds
0,2
1,1
2,0
3,2
4,2
5,2
6,0
7,0
8,0
9,1
10,0
11,2
12,0
13,2
14,0
15,2
16,1
17,0
18,2
19,2
20,0
21,2
22,0
23,0
24,2
25,2
26,0
27,2
28,0
29,0
30,0
31,2
32,2
33,0
34,2
35,0
36,0
37,2
38,0
39,2
40,2
41,0
42,0
43,0
44,0
45,2
46,0
47,0
48,0
49,2
50,0
51,2
52,0
53,2
54,0
55,0
56,0
57,0
58,2
59,0
60,0
61,2
62,0
63,2
64,0
65,0
66,1
67,2
68,0
69,2
70,0
71,2
72,0
73,2
74,2
75,2
76,2
77,2
78,0
79,0
80,0
81,0
82,2
83,2
84,2
85,0
86,2
87,2
88,2
89,0
90,2
91,0
92,0
93,2
94,2
95,0
96,0
97,2
98,0
99,0
100,2
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,2
110,2
111,2
112,2
113,1
114,2
115,0
116,0
117,0
118,0
119,2
120,0
121,2
122,0
123,2
124,0
125,2
126,0
127,0
128,0
129,0
130,0
131,2
132,0
133,0
134,1
135,2
136,2
137,0
138,0
139,2
140,1
141,0
142,1
143,0
144,0
145,0
146,0
147,1
148,1
149,2
150,0
151,0
152,0
153,0
154,2
155,0
156,0
157,2
158,0
159,2
160,1
161,2
162,0
163,2
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,2
172,2
173,0
174,0
175,0
176,2
177,2
178,0
179,0
180,2
181,0
182,2
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,2
193,0
194,0
195,0
196,2
197,0
198,0
199,2
200,1
201,2
202,0
203,0
204,0
205,0
206,2
207,2
208,0
209,0
210,0
211,0
212,2
213,2
214,0
215,0
216,0
217,2
218,2
219,2
220,0
221,0
222,0
223,2
224,2
225,2
226,0
227,0
228,2
229,1
230,2
231,0
232,0
233,0
234,2
235,0
236,2
237,2
238,0
239,0
240,2
241,2
242,0
243,0
244,0
245,2
246,0
247,0
248,0
249,0
250,0
251,0
252,2
253,2
254,2
255,1
256,2
257,0
258,2
259,2
260,2
261,0
262,0
263,1
264,0
265,0
266,2
267,0
268,0
269,0
270,2
271,2
272,0
273,2
274,2
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,2
284,0
285,2
286,2
287,2
288,0
289,0
290,0
291,2
292,0
293,0
294,2
295,2
296,0
297,2
298,0
299,0
300,2
301,0
302,0
303,0
304,0
305,2
306,0
307,0
308,0
309,2
310,2
311,2
312,0
313,2
314,0
315,0
316,2
317,2
318,0
319,2
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,2
330,0
331,2
332,0
333,0
334,0
335,2
336,0
337,2
338,2
339,2
340,0
341,0
342,2
343,0
344,2
345,0
346,0
347,2
348,0
349,0
350,0
351,2
352,0
353,0
354,0
355,0
356,2
357,2
358,2
359,0
360,0
361,2
362,2
363,0
364,0
365,0
366,2
367,0
368,2
369,2
370,0
371,2
372,0
373,0
374,0
375,0
376,2
377,0
378,0
379,2
380,0
381,0
382,1
383,0
384,2
385,0
386,0
387,0
388,0
389,2
390,0
391,2
392,0
393,2
394,2
395,0
396,0
397,2
398,2
399,0
400,0
401,1
402,0
403,0
404,0
405,2
406,0
407,2
408,0
409,2
410,1
411,0
412,0
413,0
414,0
415,0
416,0
417,1
418,0
419,0
420,2
421,2
422,2
423,0
424,0
425,0
426,0
427,2
428,2
429,2
430,0
431,0
432,0
433,2
434,0
435,2
436,0
437,2
438,2
439,0
440,2
441,2
442,0
443,0
444,0
445,2
446,2
447,0
448,0
449,2
450,0
451,0
452,2
453,0
454,2
455,0
456,0
457,1
458,0
459,0
460,0
461,1
462,0
463,0
464,0
465,0
466,0
467,1
468,0
469,2
470,0
471,0
472,2
473,2
474,0
475,2
476,2
477,0
478,0
479,0
480,2
481,0
482,0
483,1
484,2
485,0
486,0
487,2
488,2
489,0
490,0
491,0
492,2
493,0
494,1
495,0
496,0
497,0
498,0
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,0
508,0
509,0
510,0
511,2
512,0
513,2
514,2
515,2
516,2
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,2
529,0
530,1
531,0
532,0
533,0
534,2
535,0
536,0
537,2
538,2
539,0
540,0
541,2
542,0
543,0
544,0
545,2
546,0
547,0
548,2
549,0
550,2
551,0
552,0
553,0
554,2
555,0
556,0
557,0
558,2
559,0
560,2
561,0
562,0
563,0
564,0
565,2
566,0
567,0
568,0
569,2
570,2
571,0
572,2
573,0
574,1
575,0
576,1
577,2
578,0
579,0
580,0
581,0
582,0
583,2
584,0
585,0
586,2
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,2
599,0
600,0
601,2
602,0
603,0
604,0
605,1
606,0
607,2
608,0
609,2
610,0
611,0
612,2
613,0
614,0
615,0
616,0
617,2
618,2
619,0
620,0
621,0
622,0
623,1
624,0
625,0
626,2
627,0
628,0
629,2
630,2
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,2
642,0
643,0
644,0
645,0
646,0
647,2
648,2
649,0
650,0
651,2
652,0
653,0
654,0
655,2
656,0
657,2
658,2
659,0
660,0
661,0
662,2
663,2
664,2
665,2
666,0
667,0
668,2
669,2
670,0
671,0
672,2
673,0
674,0
675,2
676,0
677,2
678,0
679,0
680,0
681,2
682,0
683,0
684,0
685,0
686,0
687,2
688,2
689,2
690,0
691,0
692,0
693,0
694,2
695,2
696,0
697,0
698,2
699,0
700,0
701,2
702,0
703,2
704,2
705,0
706,1
707,0
708,0
709,2
710,1
711,2
712,0
713,2
714,0
715,0
716,2
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,2
725,2
726,0
727,2
728,0
729,2
730,0
