,preds
0,1
1,2
2,0
3,2
4,1
5,2
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,0
18,1
19,2
20,0
21,1
22,0
23,0
24,1
25,1
26,0
27,1
28,0
29,0
30,0
31,2
32,1
33,0
34,1
35,0
36,0
37,1
38,0
39,1
40,1
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,1
52,0
53,2
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,2
62,0
63,2
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,2
74,1
75,1
76,1
77,2
78,0
79,0
80,0
81,0
82,2
83,1
84,1
85,0
86,2
87,2
88,1
89,0
90,2
91,0
92,0
93,1
94,2
95,0
96,0
97,1
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,1
111,2
112,2
113,0
114,2
115,0
116,0
117,0
118,0
119,2
120,0
121,1
122,0
123,1
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,2
132,0
133,0
134,0
135,1
136,1
137,0
138,0
139,2
140,2
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,2
150,0
151,0
152,0
153,0
154,2
155,0
156,0
157,2
158,0
159,1
160,0
161,1
162,0
163,2
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,1
173,0
174,0
175,0
176,2
177,2
178,0
179,0
180,2
181,0
182,2
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,2
200,0
201,2
202,0
203,0
204,0
205,0
206,1
207,2
208,0
209,0
210,0
211,0
212,2
213,1
214,0
215,0
216,0
217,1
218,1
219,1
220,0
221,0
222,0
223,2
224,1
225,2
226,0
227,0
228,2
229,0
230,2
231,0
232,0
233,0
234,2
235,0
236,1
237,1
238,0
239,0
240,1
241,2
242,0
243,0
244,0
245,2
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,2
255,0
256,2
257,0
258,1
259,1
260,1
261,0
262,0
263,0
264,0
265,0
266,2
267,0
268,0
269,0
270,1
271,1
272,0
273,2
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,1
284,0
285,2
286,1
287,1
288,0
289,0
290,0
291,2
292,0
293,0
294,2
295,2
296,0
297,1
298,0
299,0
300,2
301,0
302,0
303,0
304,0
305,2
306,0
307,0
308,0
309,2
310,2
311,2
312,0
313,2
314,0
315,0
316,1
317,1
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,1
330,0
331,2
332,0
333,0
334,0
335,2
336,0
337,1
338,2
339,1
340,0
341,0
342,2
343,0
344,1
345,0
346,0
347,1
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,1
357,1
358,1
359,0
360,0
361,2
362,1
363,0
364,0
365,0
366,1
367,0
368,1
369,1
370,0
371,2
372,0
373,0
374,0
375,0
376,1
377,0
378,0
379,2
380,0
381,0
382,0
383,0
384,1
385,0
386,0
387,0
388,0
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,2
398,1
399,0
400,0
401,0
402,0
403,0
404,0
405,2
406,0
407,1
408,0
409,1
410,1
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,2
421,2
422,2
423,0
424,0
425,0
426,0
427,2
428,2
429,1
430,0
431,0
432,0
433,2
434,0
435,2
436,0
437,1
438,2
439,0
440,1
441,1
442,0
443,0
444,0
445,2
446,1
447,0
448,0
449,1
450,0
451,0
452,1
453,0
454,1
455,0
456,0
457,2
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,1
473,1
474,0
475,2
476,1
477,0
478,0
479,0
480,2
481,0
482,0
483,0
484,1
485,0
486,0
487,2
488,1
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,0
498,0
499,1
500,2
501,1
502,1
503,2
504,2
505,2
506,2
507,0
508,0
509,0
510,0
511,2
512,0
513,1
514,1
515,1
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,1
529,0
530,0
531,0
532,0
533,0
534,1
535,0
536,0
537,2
538,1
539,0
540,0
541,2
542,0
543,0
544,0
545,1
546,0
547,0
548,2
549,0
550,1
551,0
552,0
553,0
554,2
555,0
556,0
557,0
558,1
559,0
560,1
561,0
562,0
563,0
564,0
565,1
566,0
567,0
568,0
569,1
570,1
571,0
572,2
573,0
574,0
575,0
576,0
577,1
578,0
579,0
580,0
581,0
582,0
583,2
584,0
585,0
586,2
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,0
604,0
605,0
606,0
607,1
608,0
609,2
610,0
611,0
612,2
613,0
614,0
615,0
616,0
617,2
618,1
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,1
627,0
628,0
629,1
630,2
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,2
642,0
643,0
644,0
645,0
646,0
647,1
648,2
649,0
650,0
651,2
652,0
653,0
654,0
655,1
656,0
657,1
658,1
659,0
660,0
661,0
662,1
663,1
664,1
665,2
666,0
667,0
668,2
669,1
670,0
671,0
672,2
673,0
674,0
675,1
676,0
677,1
678,0
679,0
680,0
681,2
682,0
683,0
684,0
685,0
686,0
687,2
688,1
689,2
690,0
691,0
692,0
693,0
694,1
695,1
696,0
697,0
698,2
699,0
700,0
701,1
702,0
703,1
704,1
705,0
706,0
707,0
708,0
709,1
710,0
711,2
712,0
713,2
714,0
715,0
716,1
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,1
725,1
726,0
727,2
728,0
729,1
730,0
731,0
732,1
733,0
734,0
735,0
736,0
737,0
738,2
739,1
740,0
741,0
742,0
743,0
744,2
745,0
746,0
747,1
748,0
749,1
750,1
751,0
752,1
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,1
762,1
763,0
764,0
765,0
766,0
767,1
768,0
769,1
770,1
771,0
772,0
773,0
774,0
775,1
776,0
777,0
778,0
779,0
780,1
781,0
782,0
783,0
784,0
785,0
786,0
787,2
788,1
789,0
790,2
791,0
792,0
793,0
794,1
795,2
796,1
797,0
798,0
799,0
800,1
801,1
802,0
803,0
804,0
805,0
806,2
807,0
808,0
809,0
810,0
811,0
812,1
813,0
814,1
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,2
825,0
826,1
827,0
828,2
829,0
830,2
831,0
832,0
833,0
834,2
835,0
836,0
837,1
838,0
839,2
840,2
841,0
842,0
843,2
844,0
845,1
846,0
847,0
848,0
849,0
850,2
851,0
852,0
853,1
854,0
855,0
856,1
857,1
858,0
859,1
860,2
861,0
862,0
863,0
864,0
865,2
866,0
867,0
868,1
869,0
870,0
871,1
872,1
873,1
874,0
875,0
876,2
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,1
886,2
887,0
888,0
889,2
890,2
891,1
892,1
893,0
894,1
895,0
896,0
897,1
898,2
899,1
900,2
901,0
902,0
903,1
904,1
905,1
906,0
907,0
908,2
909,1
910,0
911,1
912,2
913,2
914,1
915,2
916,0
917,0
918,0
919,0
920,1
921,0
922,1
923,0
924,0
925,0
926,0
927,0
928,0
929,1
930,2
931,1
932,2
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,2
943,1
944,2
945,0
946,0
947,0
948,0
949,0
950,0
951,2
952,0
953,0
954,1
955,2
956,0
957,1
958,0
959,1
960,1
961,0
962,1
963,0
