,preds
0,81901.05743393491
1,85100.2730849093
2,229346.00666457493
3,111175.48859141963
4,97483.67238717261
5,121072.07344671513
6,151834.02214488544
7,162476.68269869033
8,156358.3633987849
9,100225.05462270913
10,116956.86872429267
11,102175.86584335836
12,136950.88212324996
13,79058.03651959977
14,142543.0877149727
15,87638.22561243529
16,100873.82473038051
17,219895.95479087593
18,111657.63721523636
19,96756.49323816849
20,168963.0412515192
21,115722.53956481381
22,133512.40540304524
23,202978.46132205703
24,104732.43937893913
25,95620.13287862774
26,188675.60552094522
27,83664.51797861149
28,206663.4752127647
29,214183.50653892488
30,182822.49221795346
31,116879.73463514296
32,69874.39769051713
33,157971.44975686452
34,62629.22851715087
35,135192.7171120502
36,152713.19672432396
37,110753.36625534986
38,205910.89217388025
39,116263.94406781398
40,113912.0987340277
41,198838.60949656676
42,166318.17467545453
43,152728.58384036727
44,164807.46098912097
45,134069.1835562854
46,170546.51749852436
47,245235.88686964702
48,134433.99498105035
49,109797.67212689194
50,140465.4161178913
51,98304.64270095271
52,139369.84883885007
53,110681.26844730214
54,146920.72216468354
55,219055.67397728452
56,195196.95599139077
57,187393.4519605452
58,87060.79758810138
59,168537.49196201272
60,177804.14633534744
61,117452.29433809085
62,171431.908417376
63,104289.03143846274
64,238321.74692111253
65,156328.99424242874
66,103496.81598481227
67,152843.9746340136
68,155165.03936815253
69,120579.60355901018
70,157218.44392898015
71,140821.06398061287
72,131237.579832413
73,98835.49224521384
74,106313.12301671915
75,103272.68278558266
76,145279.49808181857
77,118361.14947552246
78,118738.77164033148
79,166884.7671309037
80,155630.5452535318
81,220902.258604409
82,121380.01832218622
83,125649.41810108988
84,101655.99301780056
85,132959.5977788296
86,109979.26368746292
87,84544.70861979993
88,93633.68421039358
89,110428.17596052418
90,93853.7803165484
91,113880.64328433943
92,189017.35301265848
93,85557.08209154202
94,115122.24812607146
95,143816.21484128578
96,127383.36838113445
97,91499.70955164277
98,145302.59455520855
99,214095.98283163743
100,70383.89753671824
101,166686.55629961603
102,113056.22974259905
103,136087.2709692925
104,145294.9953836237
105,187035.43743670982
106,198424.0744910212
107,106085.36192948761
108,172891.28399392212
109,115857.69312115396
110,87204.28323666699
111,116866.91296968142
112,112884.63180648543
113,87808.06003923938
114,92279.57136744741
115,152771.8636553344
116,113033.70919571005
117,148457.5175193917
118,135897.04748668178
119,105256.31315288154
120,181558.78960385954
121,108034.19349840138
122,157138.7845437235
123,138673.41687623798
124,224167.5805161773
125,80282.50227871751
126,168348.65881595362
127,249434.86345411895
128,147374.08336950338
129,208033.59267923422
130,147814.81287049988
131,114787.1127817514
132,215729.35793143735
133,188496.3785825583
134,131212.9415909746
135,112821.74299997906
136,97447.87776817358
137,157781.4999724369
138,147182.5556468434
139,96689.2869402353
140,106029.10390843134
141,184120.7097473611
142,159493.4429481995
143,122173.86391705622
144,155148.09961564757
145,170379.24832972226
146,187062.14741989746
147,108175.83862222283
148,138801.56131074246
149,73561.8594932808
150,193346.75730026473
151,138999.92557299344
152,114171.87005590703
153,151892.84215417798
154,109034.4467996227
