,preds
0,87428.82
1,90313.2
2,233869.45
3,112664.2
4,105527.39
5,124664.27
6,150633.78
7,171429.94
8,155626.08
9,116473.66
10,146461.45
11,102280.52
12,136904.03
13,109103.73
14,147198.89
15,91503.94
16,105258.8
17,245346.7
18,114214.95
19,124413.484
20,190827.14
21,114614.02
22,137280.17
23,210583.22
24,107847.62
25,95767.19
26,199026.8
27,87529.664
28,208729.97
29,209436.33
30,183626.06
31,121497.03
32,71843.45
33,157974.73
34,111737.125
35,140482.1
36,176253.39
37,113807.58
38,221716.9
39,116833.48
40,111329.76
41,208491.23
42,164728.38
43,147243.25
44,173331.11
45,131757.39
46,178512.28
47,260770.25
48,129092.8
49,114347.24
50,138651.28
51,99902.57
52,134705.38
53,110786.14
54,139123.66
55,221608.2
56,198681.4
57,196542.39
58,87459.93
59,165988.61
60,184576.39
61,122655.04
62,177852.92
63,106481.87
64,244690.95
65,155840.53
66,103081.8
67,149720.88
68,154217.89
69,119082.625
70,153696.69
71,136961.11
72,135723.95
73,99934.41
74,104091.48
75,103370.016
76,136956.28
77,118997.07
78,136720.12
79,173921.97
80,157626.97
81,233688.2
82,122616.234
83,138716.69
84,104472.31
85,137788.23
86,113583.45
87,96061.45
88,99772.25
89,112311.72
90,96317.9
91,117505.445
92,202848.73
93,104614.01
94,120408.72
95,145192.2
96,125461.15
97,92147.836
98,212593.53
99,243941.25
100,87740.625
101,168151.73
102,112391.52
103,137187.83
104,142669.7
105,205259.06
106,199096.89
107,108155.13
108,174252.73
109,113657.82
110,108081.68
111,120490.78
112,115036.234
113,102850.82
114,95363.55
115,182730.08
116,112642.516
117,147364.73
118,140575.39
119,105800.66
120,187420.72
121,116121.47
122,159195.27
123,134185.89
124,234790.05
125,87765.96
126,176577.8
127,259972.86
128,144662.0
129,224743.52
130,145344.44
131,119141.02
132,233389.89
133,200971.62
134,131189.97
135,117989.31
136,105438.86
137,160452.78
138,142081.6
139,109066.53
140,102489.984
141,193847.4
142,162196.45
143,152457.55
144,164666.38
145,168741.27
146,198669.8
147,114352.63
148,137146.31
149,82503.484
150,203858.05
151,138119.36
152,113610.41
153,153875.72
154,122222.79
155,140652.7
156,133797.42
157,103495.89
158,185447.03
159,141637.66
160,141168.81
161,109860.03
162,117002.75
163,120932.31
164,159789.25
165,131743.14
166,173814.48
167,127708.78
168,188717.8
169,174360.08
170,116340.414
171,114513.69
172,122399.51
173,142919.06
174,152200.44
175,160875.86
176,108027.02
177,108025.38
178,143183.39
179,132529.5
180,130441.31
181,202095.98
182,128336.01
183,206876.94
184,137181.31
185,157849.62
186,168505.5
187,137099.45
188,178899.69
189,209150.2
190,208682.78
191,190454.05
192,142455.2
193,121112.836
194,191251.78
195,120751.586
196,98555.08
197,171853.0
198,105250.46
199,115357.39
200,102538.82
201,109798.94
202,169670.17
203,141242.31
204,176983.03
205,241349.81
206,128585.84
207,123247.13
208,177695.47
209,132237.53
210,137385.88
211,118459.94
212,103090.64
213,86779.73
214,127452.86
215,208950.03
216,177010.3
217,126448.63
218,112401.81
219,94428.125
220,147916.22
221,180010.95
222,223159.52
223,114605.06
224,110934.83
225,107145.8
226,118680.02
227,106806.2
228,89913.9
229,144415.56
230,115577.695
231,182926.02
232,137807.56
233,169197.6
234,96843.66
235,188286.12
236,108622.21
237,100481.59
238,180933.03
239,176275.52
240,143794.67
241,94126.89
242,126689.89
243,162474.84
244,127857.695
245,124978.414
246,237846.44
247,219527.14
248,155404.66
249,208728.64
250,182147.66
251,128411.9
252,102883.336
253,92984.37
254,109102.67
255,114328.73
256,94771.51
257,271273.7
258,130986.09
259,140537.73
260,115120.016
261,152613.64
262,104432.72
263,150607.78
264,227423.12
265,197731.14
266,100330.73
267,189570.75
268,224678.44
269,124861.59
270,85156.82
271,90118.44
272,251065.69
273,122162.79
274,127461.84
275,193121.17
276,210016.17
277,240648.81
278,209836.39
279,166916.45
280,115451.3
281,158650.19
282,181281.64
283,88475.1
284,178101.39
285,118391.984
286,106568.37
287,136397.45
288,129824.55
289,189832.62
290,125994.695
291,122086.945
292,205951.27
293,205649.61
294,88076.15
295,89915.39
296,183854.31
297,139279.98
298,166722.1
299,159510.97
300,105269.37
301,160035.77
302,147722.61
303,165980.88
304,154286.2
305,110130.29
306,133609.8
307,195975.81
308,246729.73
309,110194.47
