,preds
0,85022.66
1,85153.305
2,233904.77
3,112595.234
4,106999.82
5,122725.37
6,149560.03
7,170805.53
8,157426.38
9,108452.555
10,155824.92
11,102075.3
12,135714.66
13,90557.33
14,148449.48
15,87275.82
16,100649.06
17,240591.53
18,111166.54
19,113614.94
20,176913.86
21,114623.13
22,129419.164
23,213374.84
24,107541.836
25,94129.9
26,194064.45
27,84276.86
28,208160.11
29,215900.28
30,172947.72
31,116258.47
32,66956.55
33,160148.45
34,52114.13
35,141784.31
36,183365.83
37,111646.15
38,216271.36
39,115061.695
40,112330.875
41,209906.22
42,166772.25
43,150298.38
44,169783.28
45,130739.14
46,180784.3
47,256403.75
48,130744.336
49,113148.01
50,140879.31
51,99264.08
52,135043.58
53,111699.38
54,139817.58
55,223320.66
56,200357.58
57,191763.55
58,84561.76
59,164669.19
60,181404.95
61,120238.94
62,175967.44
63,104129.74
64,249677.14
65,158645.6
66,108772.58
67,150687.88
68,153987.97
69,118275.35
70,154228.86
71,137556.98
72,132825.81
73,100103.11
74,103245.086
75,101771.68
76,139851.94
77,117804.34
78,151328.48
79,171640.92
80,157798.33
81,226877.02
82,120250.875
83,135097.33
84,104573.97
85,133407.48
86,108623.7
87,86704.05
88,91685.19
89,113104.07
90,95374.76
91,115880.414
92,192106.83
93,65014.723
94,116635.23
95,142691.0
96,125710.38
97,89236.31
98,154356.86
99,167606.86
100,80982.17
101,167583.56
102,113090.11
103,135513.0
104,142752.38
105,198450.42
106,195436.52
107,106184.53
108,173585.23
109,110638.945
110,98010.305
111,120299.58
112,112538.54
113,96180.92
114,95338.984
115,172959.28
116,109666.34
117,143291.11
118,134517.23
119,103024.516
120,188603.98
121,110484.64
122,158683.28
123,131702.52
124,231913.86
125,86930.67
126,178726.4
127,257487.25
128,144446.17
129,217786.05
130,143923.38
131,115195.914
132,229249.27
133,194098.1
134,132651.05
135,113690.22
136,103167.57
137,162318.69
138,140520.95
139,104300.05
140,102068.55
141,191455.31
142,158639.97
143,116908.19
144,163000.94
145,168823.22
146,193590.84
147,109701.44
148,136615.83
149,78739.1
150,201009.33
151,138618.55
152,111163.06
153,152336.58
154,121480.76
155,137860.6
156,131663.56
157,93875.43
158,179507.02
159,139610.8
160,137375.11
161,102948.98
162,113135.29
163,116362.414
164,157757.5
165,130857.0
166,172748.25
167,127338.6
168,188223.64
169,172304.36
170,116547.42
171,112253.26
172,120270.414
173,145567.61
174,151344.23
175,156775.3
176,103623.63
177,106733.2
178,140001.88
179,129274.11
180,130206.54
181,202920.81
182,125885.49
183,204243.86
184,133533.86
185,157149.33
186,168852.55
187,130185.59
188,171282.11
189,210706.47
190,204781.44
191,190018.36
192,139648.58
193,121182.266
194,188937.34
195,120452.414
196,96566.266
197,170021.52
198,101330.61
199,110311.055
200,109252.8
201,105887.11
202,168828.28
203,141665.94
204,181610.23
205,234236.83
206,128259.7
207,119606.47
208,171787.67
209,131662.31
210,133141.34
211,113941.125
212,99844.03
213,91182.234
214,126950.9
215,204717.23
216,178371.22
217,122564.414
218,110724.98
219,94067.766
220,146784.5
221,181673.28
222,221392.02
223,111180.984
224,109494.23
225,103188.516
226,117863.62
227,105151.97
228,84900.07
229,145429.02
230,112625.72
231,171186.83
232,154937.47
233,167927.16
234,94234.96
235,235518.1
236,108238.695
237,96002.98
238,182343.94
239,177208.84
240,143620.8
241,90979.02
242,117790.52
243,156102.92
244,108443.305
245,124200.42
246,237390.83
247,219624.39
248,158280.86
249,252087.14
250,179841.62
251,128415.75
252,99666.586
253,90246.0
254,109055.69
255,112676.6
256,86907.836
257,268835.03
258,130801.51
259,138653.66
260,111821.56
261,147304.52
262,105551.51
263,149223.19
264,223144.72
265,195112.98
266,99281.914
267,191442.2
268,222208.7
269,124249.51
270,88306.125
271,87925.26
272,250091.55
273,119001.62
274,125518.24
275,191647.4
276,194615.17
277,239118.52
278,205951.06
279,168123.48
280,131811.92
281,156771.4
282,181193.34
283,88541.33
284,176963.44
285,117749.76
286,107259.73
287,135516.03
288,125471.59
289,188544.98
290,123431.44
291,104162.77
292,203613.06
293,204300.17
294,84278.664
295,91994.64
296,180960.5
297,137774.11
298,163845.84
299,158686.12
300,104293.69
301,156414.72
302,146775.3
303,159822.62
304,154971.17
305,103503.44
306,130202.18
307,193678.48
308,245044.98
309,108810.79
310,129885.234
311,123597.234
312,136966.27
313,120415.85
314,174032.06
315,141759.6
316,77847.35
317,68215.41
318,180111.81
319,105926.38
320,145245.92
321,186147.61
322,123925.89
323,154062.34
324,93176.86
325,157607.02
326,120567.04
327,147292.06
328,154709.36
329,145583.98
330,175341.28
331,122182.63
332,235509.05
333,188639.45
334,179923.69
335,127281.96
336,212550.11
337,94282.98
338,97222.56
339,104124.266
340,166082.58
341,172261.62
342,105612.33
343,137891.19
344,119573.26
345,168978.08
346,136793.6
347,104759.2
348,255740.1
349,227835.27
350,150150.61
351,96926.555
352,161618.08
353,172866.39
354,106336.1
355,152414.95
356,93974.55
357,132628.45
358,100321.766
359,129066.65
360,142532.5
361,94436.21
362,109500.414
363,185866.77
364,165451.81
365,131533.98
366,100598.77
367,224944.9
368,108455.59
369,114713.336
370,155656.7
371,95308.44
372,201689.48
373,148469.83
374,121444.336
375,212694.25
